,name,info
0,ZRM,老婆大人
1,ZRM,@我是机器人 导出聊天记录
2,ZRM,@我是机器人 你好
3,我是机器人,你好
4,ZRM,@我是机器人 你好
5,我是机器人,你好
6,ZRM,@我是机器人 你是
7,我是机器人,俺是机器人
8,ZRM,@我是机器人 你会做什么
9,我是机器人,好家伙，这么久了还不知道我会做什么
10,ZRM,@我是机器人 你会做什么 asdlfklaskdf
11,ZRM,@我是机器人 你会做什么
12,我是机器人,好家伙，这么久了还不知道我会做什么
13,ZRM,@我是机器人 你会做什么 asdlfklaskdf
14,ZRM,@我是机器人 你好笨啊
15,我是机器人,你好
16,ZRM,@我是机器人 导出聊天记录
17,ZRM,浦江县天气怎么样
18,ZRM,@我是机器人 浦江县天气怎么样
19,ZRM,@我是机器人 你好
20,我是机器人,你好
21,ZRM,@我是机器人 海淀天气还好不
22,ZRM,@我是机器人 海淀区天气还好不
23,ZRM,@我是机器人 北京明天天气怎么样
24,我是机器人,None
25,ZRM,@我是机器人 金华天气怎么样
26,我是机器人,None
27,ZRM,@我是机器人 金华市天气怎么样
28,我是机器人,None
29,ZRM,@我是机器人 金华市天气怎么样
30,我是机器人,None
31,ZRM,@我是机器人 金华市天气怎么样
32,我是机器人,None
33,ZRM,@我是机器人 金华市天气怎么样
34,我是机器人,None
35,ZRM,@我是机器人 金华市天气怎么样
36,我是机器人,None
37,ZRM,@我是机器人 导出聊天记录
38,我是机器人,None
39,ZRM,北京明天天气怎么样@我是机器人
40,我是机器人,如果你是单身的话，我可以做你的网恋对象
41,ZRM,@我是机器人 北京明天天气怎么样
42,我是机器人,None
43,ZRM,北京明天天气怎么样@我是机器人
44,我是机器人,如果你是单身的话，我可以做你的网恋对象
45,ZRM,北京明天天气怎么样@我是机器人
46,我是机器人,None
47,我是机器人,None
48,ZRM,@我是机器人 导出聊天记录
49,我是机器人,我叫张润民
50,ZRM,@我是机器人 导出聊天记录
51,我是机器人,我叫张润民
52,ZRM,@我是机器人 你好
53,我是机器人,我叫张润民
54,ZRM,@我是机器人 你好
55,我是机器人,我叫张润民
56,ZRM,@我是机器人 今天天气怎么样
57,我是机器人,None
58,ZRM,@我是机器人 海淀天气怎么样
59,我是机器人,None
60,ZRM,@我是机器人 海淀区天气怎么样
61,我是机器人,None
62,我是机器人,当前天气： 晴 -4°C 体感温度
63,ZRM,@我是机器人 北京天气怎么样
64,我是机器人,当前天气： 晴 0°C 体感温度
65,我是机器人,我叫张润民
66,ZRM,@我是机器人 你好
67,我是机器人,我叫张润民
68,ZRM,@我是机器人 你会干嘛
69,我是机器人,我叫张润民
70,ZRM,@我是机器人 你会干嘛
71,我是机器人,我能帮你处理事情
72,ZRM,@我是机器人 明天天气怎么样
73,我是机器人,换个问题吧
74,ZRM,@我是机器人 导出聊天记录
75,我是机器人,换个问题吧
76,ZRM,@我是机器人 导出聊天记录
77,ZRM,@我是机器人 今天天气怎么样
78,ZRM,@我是机器人 今天天气怎么样
79,ZRM,@我是机器人 北京天气怎么样
80,我是机器人,当前天气： 晴 -1°C 体感温度
81,ZRM,@我是机器人 今天天气怎么样
82,ZRM,@我是机器人 今天天气怎么样
83,我是机器人,当前天气： 晴 -1°C 体感温度
84,ZRM,@我是机器人  明天天气怎么样
85,我是机器人,当前天气： 晴 -1°C 体感温度
86,ZRM,@我是机器人 浦江天气怎么样
87,ZRM,@我是机器人 浦江县天气怎么样
88,我是机器人,当前天气： 阴 8°C 体感温度
89,ZRM,@我是机器人 浦江天气怎么样
90,我是机器人,"该地区找不到,试试看加上县或者市吧"
91,ZRM,@我是机器人 浦江asdfas天气怎么样
92,我是机器人,"该地区找不到,试试看加上县或者市吧"
93,ZRM,@我是机器人 浦江县天气怎么样
94,我是机器人,当前天气： 阴 8°C 体感温度
95,ZRM,@我是机器人 山东天气怎么样
96,我是机器人,"该地区找不到,试试看加上县或者市吧"
97,ZRM,@我是机器人 山东天气怎么样
98,我是机器人,"该地区找不到,试试看加上县，市或者省"
99,ZRM,@我是机器人 山东省天气怎么样
100,我是机器人,当前天气： 晴 -1°C 体感温度
101,ZRM,@我是机器人 导出聊天记录
102,ZRM,@我是机器人 今天天气怎么样
103,我是机器人,当前天气： 晴 -1°C 体感温度
104,我是机器人,"该地区找不到,试试看加上县，市或者省"
105,ZRM,@我是机器人 今天天气怎么样
106,我是机器人,当前天气： 晴 -1°C 体感温度
107,ZRM,@我是机器人 导出聊天记录
108,ZRM,@我是机器人 朝阳天气
109,我是机器人,"该地区找不到,试试看加上县，市或者省"
110,ZRM,@我是机器人 朝阳区天气
111,我是机器人,当前天气： 晴 0°C 体感温度
112,ZRM,@我是机器人  你在干嘛
113,ZRM,@我是机器人  你在干嘛
114,ZRM,@我是机器人  你在干嘛
115,我是机器人,@ZRM 你在干嘛
116,我是机器人,@ZRM 海淀区天气
117,ZRM,换个问题吧
118,ZRM,当前天气： 晴 -4°C 体感温度
119,我是机器人,@ZRM 海淀区天气
120,ZRM,当前天气： 晴 -4°C 体感温度
121,我是机器人,@ZRM 导出聊天记录
122,我是机器人,@ZRM 你好
123,我是机器人,@ZRM 你在干嘛
124,ZRM,换个问题吧
125,我是机器人,@ZRM 你在干嘛
126,ZRM,换个问题吧
127,我是机器人,@ZRM 你在干嘛
128,我是机器人,@ZRM 你在干嘛
129,我是机器人,@ZRM 导出聊天记录
130,我是机器人,@ZRM 海淀区天气
131,ZRM,当前天气： 晴 -5°C 体感温度
132,ZRM,@我是机器人 你好
133,我是机器人,你好
134,ZRM,@我是机器人 海淀区天气
135,我是机器人,当前天气： 晴 -5°C 体感温度
136,ZRM,@我是机器人 明天天气
137,我是机器人,当前天气： 晴 -1°C 体感温度
138,ZRM,@我是机器人 你会干嘛
139,我是机器人,我能帮你处理事情
140,ZRM,你在干嘛
141,ZRM,你在干嘛
142,ZRM,你在干嘛
143,ZRM,@我是机器人 北京天气
144,我是机器人,当前天气： 晴 -5°C 体感温度
145,ZRM,@我是机器人 你好
146,我是机器人,换个问题吧
147,ZRM,@我是机器人 你好
148,我是机器人,你好
149,ZRM,@我是机器人  我是联通机器人
150,我是机器人,换个问题吧
151,ZRM,@我是机器人  我是联通机器
152,我是机器人,太巧了吧，我刚好有很多额问题想问问你呢，要不然阿萨德开饭啦快结束地方
153,ZRM,@我是机器人 我想去海南旅游
154,我是机器人,换个问题吧
155,ZRM,@我是机器人 导出聊天记录
156,ZRM,@我是机器人 导出聊天记录
